Partner;Dependents;tenure;PhoneService;InternetService;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Date;Treatment
Yes;No; 1;No;DSL;Month-to-month;Yes;Electronic check; 29,85;  29,85;0;2020-03-17;1
No;No;34;Yes;DSL;One year;No;Mailed check; 56,95;1889,50;0;2017-07-01;1
No;No; 2;Yes;DSL;Month-to-month;Yes;Mailed check; 53,85; 108,15;1;2020-02-16;1
No;No;45;No;DSL;One year;No;Automatic; 42,30;1840,75;0;2016-08-05;0
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 70,70; 151,65;1;2020-02-16;1
No;No; 8;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 99,65; 820,50;1;2019-08-20;0
No;Yes;22;Yes;Fiber optic;Month-to-month;Yes;Automatic; 89,10;1949,40;0;2018-06-26;0
No;No;10;No;DSL;Month-to-month;No;Mailed check; 29,75; 301,90;0;2019-06-21;0
Yes;No;28;Yes;Fiber optic;Month-to-month;Yes;Electronic check;104,80;3046,05;1;2017-12-28;1
No;Yes;62;Yes;DSL;One year;No;Automatic; 56,15;3487,95;0;2015-03-14;1
Yes;Yes;13;Yes;DSL;Month-to-month;Yes;Mailed check; 49,95; 587,45;0;2019-03-23;1
No;No;16;Yes;No;Two year;No;Automatic; 18,95; 326,80;0;2018-12-23;0
Yes;No;58;Yes;Fiber optic;One year;No;Automatic;100,35;5681,10;0;2015-07-12;0
No;No;49;Yes;Fiber optic;Month-to-month;Yes;Automatic;103,70;5036,30;1;2016-04-07;1
No;No;25;Yes;Fiber optic;Month-to-month;Yes;Electronic check;105,50;2686,05;0;2018-03-28;1
Yes;Yes;69;Yes;Fiber optic;Two year;No;Automatic;113,25;7895,15;0;2014-08-16;1
No;No;52;Yes;No;One year;No;Mailed check; 20,65;1022,95;0;2016-01-08;0
No;Yes;71;Yes;Fiber optic;Two year;No;Automatic;106,70;7382,25;0;2014-06-17;0
Yes;Yes;10;Yes;DSL;Month-to-month;No;Automatic; 55,20; 528,35;1;2019-06-21;1
No;No;21;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,05;1862,90;0;2018-07-26;1
No;No; 1;No;DSL;Month-to-month;Yes;Electronic check; 39,65;  39,65;1;2020-03-17;1
Yes;No;12;Yes;No;One year;No;Automatic; 19,80; 202,25;0;2019-04-22;0
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 20,15;  20,15;1;2020-03-17;1
Yes;No;58;Yes;DSL;Two year;Yes;Automatic; 59,90;3505,10;0;2015-07-12;0
Yes;Yes;49;Yes;DSL;Month-to-month;No;Automatic; 59,60;2970,30;0;2016-04-07;1
No;No;30;Yes;DSL;Month-to-month;Yes;Automatic; 55,30;1530,60;0;2017-10-29;0
Yes;Yes;47;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 99,35;4749,15;1;2016-06-06;1
Yes;Yes; 1;No;DSL;Month-to-month;No;Electronic check; 30,20;  30,20;1;2020-03-17;1
Yes;No;72;Yes;DSL;Two year;Yes;Automatic; 90,25;6369,45;0;2014-05-18;0
No;Yes;17;Yes;DSL;Month-to-month;Yes;Mailed check; 64,70;1093,10;1;2018-11-23;1
Yes;No;71;Yes;Fiber optic;Two year;Yes;Automatic; 96,35;6766,95;0;2014-06-17;0
Yes;No; 2;Yes;Fiber optic;Month-to-month;Yes;Automatic; 95,50; 181,65;0;2020-02-16;0
Yes;Yes;27;Yes;DSL;One year;No;Mailed check; 66,15;1874,45;0;2018-01-27;0
No;No; 1;Yes;No;Month-to-month;No;Automatic; 20,20;  20,20;0;2020-03-17;0
No;No; 1;Yes;DSL;Month-to-month;No;Automatic; 45,25;  45,25;0;2020-03-17;0
Yes;Yes;72;Yes;Fiber optic;Two year;No;Automatic; 99,90;7251,70;0;2014-05-18;1
No;No; 5;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 69,70; 316,90;1;2019-11-18;0
No;No;46;Yes;Fiber optic;Month-to-month;Yes;Automatic; 74,80;3548,30;0;2016-07-06;1
No;No;34;Yes;Fiber optic;Month-to-month;Yes;Electronic check;106,35;3549,25;1;2017-07-01;1
No;No;11;Yes;Fiber optic;Month-to-month;Yes;Automatic; 97,85;1105,40;1;2019-05-22;0
Yes;Yes;10;Yes;DSL;One year;No;Mailed check; 49,55; 475,70;0;2019-06-21;1
Yes;Yes;70;Yes;DSL;Two year;Yes;Automatic; 69,20;4872,35;0;2014-07-17;0
Yes;Yes;17;Yes;No;One year;No;Mailed check; 20,75; 418,25;0;2018-11-23;1
No;No;63;Yes;DSL;Two year;Yes;Automatic; 79,85;4861,45;0;2015-02-12;0
Yes;No;13;Yes;DSL;Month-to-month;Yes;Electronic check; 76,20; 981,45;0;2019-03-23;1
No;No;49;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 84,50;3906,70;0;2016-04-07;1
No;No; 2;Yes;DSL;Month-to-month;No;Mailed check; 49,25;  97,00;0;2020-02-16;1
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 80,65; 144,15;1;2020-02-16;1
No;No;52;Yes;DSL;Two year;Yes;Automatic; 79,75;4217,80;0;2016-01-08;0
Yes;Yes;69;Yes;DSL;Two year;Yes;Automatic; 64,15;4254,10;0;2014-08-16;0
No;No;43;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,25;3838,75;0;2016-10-04;1
No;No;15;Yes;Fiber optic;Month-to-month;Yes;Automatic; 99,10;1426,40;1;2019-01-22;0
Yes;No;25;Yes;DSL;Month-to-month;Yes;Automatic; 69,50;1752,65;0;2018-03-28;0
Yes;No; 8;Yes;Fiber optic;Month-to-month;Yes;Automatic; 80,65; 633,30;1;2019-08-20;1
Yes;Yes;60;Yes;DSL;One year;Yes;Automatic; 74,85;4456,35;0;2015-05-13;1
No;No;18;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 95,45;1752,55;1;2018-10-24;0
Yes;Yes;63;Yes;Fiber optic;One year;Yes;Automatic; 99,65;6311,20;0;2015-02-12;1
Yes;Yes;66;Yes;Fiber optic;One year;Yes;Electronic check;108,45;7076,35;0;2014-11-14;1
Yes;Yes;34;Yes;No;Two year;No;Automatic; 24,95; 894,30;0;2017-07-01;0
No;No;72;Yes;Fiber optic;Two year;Yes;Automatic;107,50;7853,70;0;2014-05-18;0
Yes;No;47;Yes;Fiber optic;Month-to-month;Yes;Electronic check;100,50;4707,10;0;2016-06-06;0
No;No;60;Yes;Fiber optic;Month-to-month;Yes;Automatic; 89,90;5450,70;0;2015-05-13;0
