customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Date
7590-VHVEG;Female;No;Yes;No; 1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check; 29,85;  29,85;0;2020-03-17
5575-GNVDE;Male;No;No;No;34;Yes;No;DSL;Yes;No;Yes;No;No;No;One year;No;Mailed check; 56,95;1889,50;0;2017-07-01
3668-QPYBK;Male;No;No;No; 2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check; 53,85; 108,15;1;2020-02-16
7795-CFOCW;Male;No;No;No;45;No;No phone service;DSL;Yes;No;Yes;Yes;No;No;One year;No;Automatic; 42,30;1840,75;0;2016-08-05
9237-HQITU;Female;No;No;No; 2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; 70,70; 151,65;1;2020-02-16
9305-CDSKC;Female;No;No;No; 8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check; 99,65; 820,50;1;2019-08-20
1452-KIOVK;Male;No;No;Yes;22;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Automatic; 89,10;1949,40;0;2018-06-26
6713-OKOMC;Female;No;No;No;10;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check; 29,75; 301,90;0;2019-06-21
7892-POOKP;Female;No;Yes;No;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,80;3046,05;1;2017-12-28
6388-TABGU;Male;No;No;Yes;62;Yes;No;DSL;Yes;Yes;No;No;No;No;One year;No;Automatic; 56,15;3487,95;0;2015-03-14
9763-GRSKD;Male;No;Yes;Yes;13;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check; 49,95; 587,45;0;2019-03-23
7469-LKBCI;Male;No;No;No;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Automatic; 18,95; 326,80;0;2018-12-23
8091-TTVAX;Male;No;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;No;Automatic;100,35;5681,10;0;2015-07-12
0280-XJGEX;Male;No;No;No;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Automatic;103,70;5036,30;1;2016-04-07
5129-JLPIS;Male;No;No;No;25;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;105,50;2686,05;0;2018-03-28
3655-SNQYZ;Female;No;Yes;Yes;69;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Automatic;113,25;7895,15;0;2014-08-16
8191-XWSZG;Female;No;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check; 20,65;1022,95;0;2016-01-08
9959-WOFKT;Male;No;No;Yes;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;Two year;No;Automatic;106,70;7382,25;0;2014-06-17
4190-MFLUW;Female;No;Yes;Yes;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Automatic; 55,20; 528,35;1;2019-06-21
